队名,队员号,出场次数,首发次数,上场时间,投篮命中率,投篮命中次数,投篮出手次数,三分命中率,三分命中次数,三分出手次数,罚球命中率,罚球命中次数,罚球出手次数,篮板总数,前场篮板,后场篮板,助攻,抢断,盖帽,失误,犯规,得分
0,0,81,81,37.4,44.500,8.8,19.7,33.200,1.6,4.8,85.800,5.9,6.9,4.1,1,3.1,7.7,1,0.6,3.4,1.7,25
0,1,59,59,31.9,51.000,7.3,14.3,,0,0,70.100,2.9,4.1,9.6,2.2,7.4,2.5,0.8,0.3,2.5,3.2,17.5
0,2,82,82,39.1,46.000,6.5,14.1,34.500,1.4,4.1,75.300,3.1,4.1,5.8,1.4,4.4,2.8,1,0.6,1.9,2,17.4
0,3,48,48,32.8,52.500,4.4,8.4,0.000,0,0,73.900,2.9,3.9,10.4,3.8,6.6,2.2,1,1.5,1.9,3.3,11.7
0,4,82,0,20.1,43.400,3,6.8,41.500,1.5,3.5,88.500,0.9,1.1,1.8,0.1,1.7,1.5,0.4,0.2,0.7,1.9,8.3
0,5,80,19,21.8,46.600,2.9,6.3,12.500,0,0.1,67.600,1.3,1.9,5.7,2,3.7,0.7,0.5,1.3,0.9,2.5,7.1
0,6,81,1,22,48.000,2.5,5.3,22.200,0.1,0.3,65.400,1.1,1.6,3.2,0.7,2.6,1.7,1.3,0.3,0.7,1,6.2
0,7,82,1,13.3,37.100,1.8,4.8,39.300,0.5,1.4,74.200,0.8,1.1,1.1,0.2,1,2.3,0.7,0.1,0.9,1,4.9
0,8,82,82,17.8,40.400,1.5,3.7,38.000,1.1,2.9,65.600,0.3,0.4,1.8,0.2,1.6,1.2,0.5,0.1,0.5,1.4,4.4
0,9,52,37,22.7,51.100,1.8,3.6,100.000,0,0,62.500,0.4,0.6,5.8,1.4,4.3,1.2,0.6,0.8,0.8,3.2,4.1
0,10,13,0,9.5,41.500,1.3,3.2,22.200,0.2,0.7,46.200,0.5,1,1.8,0.5,1.4,1.1,0.6,0.7,1.4,1.9,3.2
0,11,82,0,12.1,55.300,1,1.7,,0,0,50.300,0.9,1.8,3.7,1.4,2.4,0.4,0.2,0.7,0.8,1.9,2.8
0,12,6,0,4.3,54.500,1,1.8,57.100,0.7,1.2,,0,0,0.2,0,0.2,0,0,0,0.3,0.5,2.7
0,13,18,0,4.9,52.600,0.6,1.1,0.000,0,0.3,,0,0,0.4,0.1,0.4,0.3,0.2,0.2,0.3,1,1.1
0,14,2,0,5,33.300,0.5,1.5,0.000,0,0.5,0.000,0,1,0,0,0,0.5,0,0,0,0,1
1,0,39,39,35.3,43.500,7.7,17.8,31.200,1.4,4.4,81.200,5,6.1,3.4,0.7,2.7,7.9,0.9,0.7,3.1,1.3,21.8
1,1,54,54,39.4,41.200,5.8,14,36.700,1.5,4,77.000,2.4,3.1,6.5,1.4,5.1,2.9,1,0.7,1.8,1.5,15.3
1,2,66,66,29.5,53.200,6.8,12.8,0.000,0,0,69.300,1.4,2.1,8.5,1.7,6.8,1.9,1,0.4,1.7,2.5,15
1,3,28,28,24.9,45.200,5,11.1,37.000,0.6,1.6,78.400,1,1.3,2.4,0.7,1.6,3,0.4,0,1.8,2,11.6
1,4,64,64,30.4,50.800,3.9,7.7,0.000,0,0,74.800,2.4,3.2,9.8,3.8,6,2.5,0.6,1.4,1.4,2.5,10.2
1,5,49,25,23.7,36.800,3.3,8.9,39.300,1.4,3.5,80.800,1.7,2.1,2.1,0.4,1.7,4.1,0.9,0.2,2,2.1,9.7
1,6,65,7,22.6,43.200,2.7,6.3,43.500,1.8,4.2,83.300,0.8,1,2.4,0.4,2,1.7,0.6,0.2,0.8,1.7,8.1
1,7,63,0,20.4,49.500,3.2,6.4,,0,0,62.200,1.3,2.1,5.3,2.1,3.1,0.7,0.4,1.3,1,2.1,7.7
1,8,49,2,14.8,39.900,2.9,7.3,39.300,1.1,2.9,87.500,0.6,0.7,1.6,0.4,1.1,2.2,0.4,0,0.9,0.9,7.5
